id,name,comment,time
1,Grab,"Hi, Kelly. We have responded to your query via DM. Kindly check your inbox. Thank you.",2017-04-07T06:21:20Z
2,Grab,"Yes, we still have that promo going on.",2017-04-04T09:30:15Z
3,Effa Nadirah,X dapat pon,2018-08-11T13:48:25Z
4,Samantha Saw,Why I can't use grabpay15 when I just registered my card this evening???,2017-03-22T12:34:20Z
5,Eunice Tan,Branden Chong Hou u must use it on ur first grab pay ride leh,2017-04-03T09:44:46Z
6,Eunice Cheong,why i cannot apply grabpay15? i just active my grabpay. Pls help to check,2017-03-21T15:18:26Z
7,Grab,Please PM us your contact details so that we can further checking regarding this issue and revert back to you soonest.,2017-03-21T15:20:08Z
8,Tey WeeJun,Why I cannot register my debit card? #Grab,2017-03-25T16:59:29Z
9,Grab,"Hi, Tey WeeJun. We will assist you further via PM. Thanks :)",2017-03-26T00:01:38Z
10,Xiao Ying,this for 1st grabpay or?,2017-03-20T16:00:36Z
11,Kong WoanFei,me too. unable to register my card,2017-03-31T23:48:39Z
12,Grab,Hi. Please be informed that you should call your bank provider to inform them of your GrabPay registration with Grab apps if your GrabPay registration is unsuccessful. As certain banks need their card users to call them in once again for pre-authorization purpose prior to registering the card with our Grab apps. This applies for both Credit and Debit Card. Thank you.,2017-03-31T23:52:05Z
13,Derek Ac,GrabCan I register more than one contact no for normal booking not under promo?,2017-03-20T13:21:00Z
14,Grab,"Hi, Derek. Kindly check your inbox. Thanks :)",2017-03-20T13:30:17Z
15,Pei San Lau,"is the promo still on? it shows ""this booking is not eligible for the promo. CheckT&C or remove promo code to continue"". What happen???",2017-04-21T09:52:05Z
16,Grab,"Hi Pei. In order to be eligible for this promo, you MUST use the GRABPAY promo code on your FIRST GrabPay / cashless Grab ride. If you do not use the promo code on your first GrabPay / cashless ride, you are no longer eligible for the promo and it will…See more",2017-04-21T09:57:20Z
17,Nero Mah,I need help I have insert the number of my debit card but it said invalid format,2017-03-22T03:47:42Z
18,Grab,Hi Nero. Could you PM us with your contact number so that we could assist you accordingly? Thank you :),2017-03-22T03:51:01Z
19,Isabell James,I could not apply for GRABPAY15. I'm new to grabpay,2017-03-25T16:46:50Z
20,Grab,"Hi, Isabell James. Kindly PM us with your registered contact number as well as the screenshot of the Promo error. Thanks :)",2017-03-25T16:49:51Z
21,Amanda Nayra,"Dear Grab, as Grabcar is new to Kuching, it is really a pity when the drivers refuse to pick passenger just because they are eligible to use promo code.",2017-04-02T09:23:46Z
22,Grab,Hi Amanda. We're sorry for the unpleasant ride. Could you PM us with your contact number so that we could assist you accordingly? Thank you,2017-04-02T09:29:29Z
23,Yong Chiang Oh,why i cannot apply grabpay15? i just active my grabpay at last friday. please assists me.,2017-03-21T07:08:24Z
24,Grab,"Hi Sam, Please PM us your contact details so that we can help you to check",2017-03-21T07:10:55Z
25,SheanYi Brian,Grab Grabcar Ipoh Grabdriver Drive Thank You for your tutorialCan I add same credit card into more than two different Grab account?,2017-03-20T04:15:36Z
26,Kelly Kho,Is this promocode still valid for the month of april?,2017-04-07T06:19:13Z
27,Tee Bee Lay,I cannot add any credit card. Application problem.,2017-03-27T17:05:30Z
28,Grab,"Hi Tee, we have PM the details. Thank you.",2017-03-27T17:08:26Z
29,Tobin Ng,Marvin Yong no need molpay soon ?,2017-03-21T04:04:30Z
30,Mrsho MrsHo,Typo I am cant = i also cant use,2017-03-23T02:46:24Z
31,Grab,Hi Mrsho MrsHo. You may check your PM. We will assist you from there. Thanks,2017-03-23T02:53:30Z
32,Liew Wai Chuan,I need help,2017-03-30T04:11:52Z
33,Grab,Hi Wai Chuan. We have responded to your query via DM. Kindly check your inbox.,2017-03-30T04:14:10Z
34,Khiu Chuang Fok,Could not register AMEX card,2017-03-21T01:50:07Z
35,Grab,Hi Khiu Chuang Fok. You may check your PM. We will assist you from there. Thanks,2017-03-21T01:53:44Z
36,Felicia Kok,No offer for current users?,2017-03-20T23:42:08Z
37,Vivian Lim,Why I cannot apply grabpay15 ? I just active my grabpay this morning ? Please assists me,2017-03-23T12:09:58Z
38,Grab,"Hi Vivian, Kindly PM us your contact details so that we can help you to check",2017-03-23T12:49:23Z
39,Sue Amiera,Sy da try xdpt register pun...nape ae,2017-03-20T04:08:26Z
40,Grab,Hi Sue Amiera. You may check your PM. We will assist you from there. Thanks,2017-03-20T04:24:06Z
41,Chloe Chuah,I have never use this promocode yet for every time I key it . It shows you are not eligible for the promo code entered . Why ?,2017-03-23T11:16:53Z
42,Wei Horng Loh,i am existing grabpay user and havent enjoy this before...,2017-03-22T22:26:15Z
43,Maggie Lee,Is this promotion still on?,2017-04-04T09:23:44Z
44,Bibiana Bibi,"I already applied grab pay, but payment unsuccessful, how??",2017-04-07T05:07:51Z
45,Grab,Hi Bibiana. Could you PM us with your contact number so that we could assist you accordingly? Thank you,2017-04-07T05:11:32Z
46,Putri Sulistyorini,"Tried to register my bank card it won't allow me to. Kept saying ""bad input"".",2017-03-21T03:15:39Z
47,Grab,"Hi Putri Sulistyorini,You may check your PM. We will assist you from there. Thanks",2017-03-21T03:41:21Z
